LoanId,AmountDisbursed,Interest,LoanBalance,BorrowDate,Loantype,Product,Branch,ClearDate,CustomerId,default,current_balance,Gender,LoanLimit,CreditScore,Status,Date Created,repayment_txn_count,repayment_total_paid,loan_first_repayment,loan_last_repayment,missed_instalments
597813,5000,1500,0,9/13/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/18/2023,871,0,,,,,,,,,,,5
597868,15000,5600,0,9/13/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,1/11/2023,474,0,,,,,,,,,,,7
597887,13000,7000,0,9/13/2023,Repeat,10 WEEKS CREDIT EASE,MOLO,11/22/2023,934,0,,,,,,,,,,,10
597893,12000,3250,0,9/13/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/18/2023,906,0,,,,,,,,,,,5
597977,5000,1500,0,9/13/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/18/2023,1041,0,,,,,,,,,,,5
598001,5000,1500,0,9/13/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/18/2023,996,0,,,,,,,,,,,5
598006,30000,10850,0,9/13/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,1/11/2023,553,0,,,,,,,,,,,7
598086,14000,3750,0,9/13/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/18/2023,643,0,,,,,,,,,,,5
598108,25000,9100,0,9/13/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,1/11/2023,301,0,,,,,,,,,,,7
598305,8000,2250,0,9/14/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/19/2023,1004,0,,,,,,,,,,,5
598311,5000,1500,0,9/14/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/19/2023,180,0,,,,,,,,,,,5
598348,9000,2500,0,9/14/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/19/2023,718,0,,,,,,,,,,,5
598408,5000,1500,0,9/14/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/19/2023,1042,0,,,,,,,,,,,5
598559,5000,1500,0,9/14/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/19/2023,865,0,,,,,,,,,,,5
598696,5000,1500,0,2/23/2024,Repeat,5 WEEKS CREDIT EASE,MOLO,10/19/2023,921,0,,,,,,,,,,,5
598713,5000,1500,0,9/14/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/19/2023,840,0,,,,,,,,,,,5
598738,5000,1500,0,9/14/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/19/2023,1043,0,,,,,,,,,,,5
598758,5000,1500,0,9/14/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/19/2023,698,0,,,,,,,,,,,5
598759,27000,14000,0,9/14/2023,Repeat,10 WEEKS CREDIT EASE,MOLO,11/23/2023,317,0,,,,,,,,,,,10
598767,8000,3150,0,9/14/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,2/11/2023,289,0,,,,,,,,,,,7
598821,8000,2250,0,9/14/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/19/2023,1024,0,,,,,,,,,,,5
598865,7000,2000,0,9/15/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/20/2023,1020,0,,,,,,,,,,,5
598869,5000,1500,0,9/15/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/20/2023,1000,0,,,,,,,,,,,5
598913,10000,3850,0,9/15/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,3/11/2023,90,0,,,,,,,,,,,7
599018,8000,2250,0,9/15/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/20/2023,988,0,,,,,,,,,,,5
599041,10000,2750,0,9/15/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/20/2023,720,0,,,,,,,,,,,5
599197,5000,1500,0,9/15/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/20/2023,972,0,,,,,,,,,,,5
599214,5000,1500,0,9/15/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/20/2023,1044,0,,,,,,,,,,,5
599291,5000,1500,0,9/15/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/20/2023,1028,0,,,,,,,,,,,5
599614,15000,5600,0,9/18/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,6/11/2023,374,0,,,,,,,,,,,7
599620,7000,2000,0,9/18/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/23/2023,916,0,,,,,,,,,,,5
599639,11000,4200,0,9/18/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,6/11/2023,917,0,,,,,,,,,,,7
599665,11000,6000,0,9/18/2023,Repeat,10 WEEKS CREDIT EASE,MOLO,11/27/2023,2,0,,,,,,,,,,,10
599680,5000,1500,0,9/18/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/23/2023,1036,0,,,,,,,,,,,5
599704,15000,5600,0,9/18/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,6/11/2023,960,0,,,,,,,,,,,7
599944,10000,3850,0,9/18/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,6/11/2023,974,0,,,,,,,,,,,7
600003,15000,5600,0,9/18/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,6/11/2023,979,0,,,,,,,,,,,7
600184,13000,7000,0,9/18/2023,Repeat,10 WEEKS CREDIT EASE,MOLO,11/27/2023,883,0,,,,,,,,,,,10
600243,7000,2000,0,9/18/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/23/2023,875,0,,,,,,,,,,,5
600273,8000,2250,0,9/18/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/23/2023,994,0,,,,,,,,,,,5
600635,5000,1500,0,9/19/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/24/2023,1045,0,,,,,,,,,,,5
600643,13000,7000,0,9/19/2023,Repeat,10 WEEKS CREDIT EASE,MOLO,11/28/2023,796,0,,,,,,,,,,,10
600661,13000,7000,0,9/19/2023,Repeat,10 WEEKS CREDIT EASE,MOLO,11/28/2023,780,0,,,,,,,,,,,10
600679,20000,7350,0,9/19/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,7/11/2023,620,0,,,,,,,,,,,7
601002,11000,6000,0,9/19/2023,Repeat,10 WEEKS CREDIT EASE,MOLO,11/28/2023,925,0,,,,,,,,,,,10
601052,15000,5600,0,9/19/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,7/11/2023,976,0,,,,,,,,,,,7
601084,7000,2800,0,9/19/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,7/11/2023,714,0,,,,,,,,,,,7
601118,7000,2000,0,9/19/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/24/2023,322,0,,,,,,,,,,,5
601226,5000,1500,0,9/20/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/25/2023,1035,0,,,,,,,,,,,5
601338,18000,6650,0,9/20/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,8/11/2023,868,0,,,,,,,,,,,7
601372,7000,2800,0,9/20/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,8/11/2023,618,0,,,,,,,,,,,7
601468,5000,1500,0,9/20/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/25/2023,1009,0,,,,,,,,,,,5
601484,10000,2750,5,9/20/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/25/2023,978,1,,,,,,,,,,,5
601553,5000,2100,0,9/20/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,8/11/2023,295,0,,,,,,,,,,,7
601561,8000,3150,0,9/20/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,8/11/2023,970,0,,,,,,,,,,,7
601670,10000,3850,1487.14,9/20/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,8/11/2023,543,1,,,,,,,,,,,7
601683,5000,1500,0,9/20/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/25/2023,779,0,,,,,,,,,,,5
601738,7000,2000,0,9/20/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/25/2023,582,0,,,,,,,,,,,5
601779,10000,5500,0,9/21/2023,Repeat,10 WEEKS CREDIT EASE,MOLO,11/30/2023,826,0,,,,,,,,,,,10
601843,5000,1500,0,9/21/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/26/2023,1038,0,,,,,,,,,,,5
601937,5000,1500,0,9/21/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/26/2023,38,0,,,,,,,,,,,5
601961,5000,1500,0,9/21/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/26/2023,1034,0,,,,,,,,,,,5
